name,category
Chladiaca pultová vitrína 120L - oblá,Vitríny | Stolové chladené vitríny - oblé
Chladiaca pultová vitrína 120l - hranatá,Vitríny | Stolové chladené vitríny - hranaté
Chladiaca pultová vitrína 160L - oblá,Vitríny | Stolové chladené vitríny - oblé
Chladiaca pultová vitrína 160l - hranatá,Vitríny | Stolové chladené vitríny - hranaté
Chladiaca vitrína okrúhla ARC 400 l,Vitríny | Vysoké chladené vitríny - okrúhle
Chladiaca vitrína okrúhla ARC MINI 100 l,Vitríny | Vysoké chladené vitríny - okrúhle
Chladiaca vitrínka GN 1/1,Stolový inventár | Rolltop vitrínky
Chladiaca vložka 200 x 120 x 30 mm,Stolový inventár | Rolltop vitrínky
"Chladiaci agregát SPLIT do 12,9 m3 - RIVACOLD",Chladiaci program | Chladiace a mraziace boxy | Split chladiace a mraziace agregáty | Split chladiace agregáty
Chladiaci box 70TN-2140-2540,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 2140 mm
Chladiaci box TN70-1140-1140,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-1340,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-1540,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-1740,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-1940,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-2140,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-2340,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-2540,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-2740,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-2940,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-3140,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-3340,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-3540,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-3740,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-3940,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-4140,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-4340,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-4540,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-4740,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1140-4940,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1140 mm
Chladiaci box TN70-1340-1340,Chladiaci program | Chladiace a mraziace boxy | Chladiace boxy | Chladiace boxy so šírkou 1340 mm
